label,result,vertices,edges,runtime
396,sat,8,7,"1.7006546999999728
"
397,sat,8,7,"1.77262810000002
"
398,sat,8,8,"1.7781631999999945
"
399,sat,8,7,"1.7812179000000015
"
400,sat,8,8,"1.929294700000014
"
401,sat,7,8,"1.8283322000000908
"
402,sat,8,9,"1.797203399999944
"
403,sat,8,7,"1.7936176000000614
"
404,sat,10,11,"2.0744249000000536
"
405,sat,8,7,"1.8174884999999676
"
406,sat,8,8,"1.7495137000000796
"
407,sat,7,7,"1.7457987999999887
"
408,sat,7,6,"1.6465778999998975
"
409,sat,6,5,"1.6174060999999256
"
410,sat,8,8,"1.8327450000000454
"
411,sat,8,9,"1.7593078000001015
"
412,sat,8,8,"1.8468983999999864
"
413,sat,10,12,"2.0298678000000336
"
414,sat,8,9,"1.7833093000000417
"
415,sat,10,12,"2.09979229999999
"
416,sat,10,13,"2.364420099999961
"
417,sat,8,6,"1.9053218000000243
"
418,sat,9,9,"1.9656595000000152
"
419,sat,11,13,"2.4242004999999835
"
420,sat,7,7,"1.9451145000000452
"
421,sat,7,8,"1.8162843000000066
"
422,sat,8,8,"1.7758426000000327
"
423,sat,8,7,"1.7832714999999553
"
424,sat,6,6,"1.641036999999983
"
425,sat,8,7,"1.770684499999902
"
426,sat,8,9,"1.8871222999999873
"
427,sat,8,8,"1.8070567999999412
"
428,sat,10,12,"1.9532359000000952
"
429,sat,10,11,"2.131228999999962
"
430,sat,8,9,"1.7927213000000393
"
431,sat,9,11,"1.9462568999999803
"
432,sat,11,14,"2.1637790999999424
"
433,sat,8,9,"1.9505731999998943
"
434,sat,7,7,"1.7668929000000162
"
435,sat,10,12,"1.9657335000000558
"
436,sat,10,13,"2.3302022999999963
"
437,sat,6,7,"1.6932643999999755
"
438,sat,9,10,"1.8166991000000507
"
439,sat,9,11,"1.8219064999999546
"
440,sat,9,12,"1.8275791999999456
"
441,sat,9,11,"2.1106022999999823
"
442,sat,8,9,"1.8496796999999106
"
443,sat,11,16,"2.2250150999999505
"
444,sat,2,1,"2.0130851999999777
"
445,sat,4,4,"1.743024699999978
"
446,sat,4,2,"1.8151589999999942
"
447,sat,5,5,"1.7564611999999897
"
448,sat,3,2,"1.6331498000000693
"
449,sat,5,5,"1.7863265999999385
"
450,sat,3,3,"1.939897999999971
"
451,sat,5,5,"1.8292133999999578
"
452,sat,7,7,"2.0568150999999943
"
453,sat,5,4,"1.7311149999999316
"
454,sat,5,4,"1.7588150999999925
"
455,sat,7,6,"1.8002496999999948
"
456,sat,6,5,"1.8252108000000362
"
457,sat,8,9,"2.390583699999979
"
458,sat,6,6,"1.7393003000000817
"
459,sat,8,9,"2.0780849000000217
"
460,sat,10,13,"2.4174577999999656
"
461,sat,6,5,"1.98186290000001
"
462,sat,7,9,"1.8984199000000217
"
463,sat,6,5,"1.8864436000000069
"
464,sat,6,7,"2.2679050000000416
"
465,sat,6,6,"2.0436406000000034
"
466,sat,6,6,"1.8324250000000575
"
467,sat,6,4,"1.8086251999999376
"
468,sat,6,6,"1.8656263000000308
"
469,sat,6,7,"1.8479527000000644
"
470,sat,8,9,"2.1753971999999067
"
471,sat,6,3,"1.8028340999999273
"
472,sat,8,7,"2.0667878999998948
"
473,sat,6,7,"1.7688806999999542
"
474,sat,7,8,"1.7982561999999689
"
475,sat,6,6,"2.0446587000000136
"
476,sat,7,7,"1.928050600000006
"
477,sat,5,4,"1.7753556999999773
"
478,sat,5,3,"1.7705766000000267
"
479,sat,4,3,"1.6967613000000483
"
480,sat,5,5,"1.9227276999999958
"
481,sat,5,6,"1.8415494000000763
"
482,sat,7,6,"1.9619338999999627
"
483,sat,8,10,"2.138029999999958
"
484,sat,7,8,"1.8721162000000504
"
485,sat,8,9,"2.012627099999918
"
486,sat,8,8,"1.9708084999999755
"
487,sat,9,11,"2.1254919000000427
"
488,sat,7,7,"1.9973051000000623
"
489,sat,7,7,"2.0101035999999795
"
490,sat,7,7,"1.9793805999998995
"
491,sat,7,6,"1.9504527999999937
"
492,sat,7,8,"1.9291779000000133
"
493,sat,9,11,"2.1862293000000363
"
494,sat,6,5,"1.8619572999999718
"
